Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
10626;Rodenkirchen Bf;BRK;106;6.99036;50.89118;BUS;130 134 197
10711;Siegstr.;SGS;107;6.99488;50.88301;STRAB;16 17
10712;Siegstr.;SGS;107;6.99444;50.88362;STRAB;16 17
10811;Michaelshoven;MIC;108;6.99903;50.87613;STRAB;16 17
10812;Michaelshoven;MIC;108;6.99919;50.87575;STRAB;16 17
10921;Maternusplatz;MAT;109;6.99344;50.89262;BUS;131 134 135
10922;Maternusplatz;MAT;109;6.99357;50.89262;BUS;131 134 135
11021;Frankstr.;FRA;110;6.98974;50.89447;BUS;130 134
11022;Frankstr.;FRA;110;6.98968;50.89479;BUS;130 134
11121;Rodenkirchen Rathaus;ROD;111;6.9963;50.89205;BUS;131 134 135
11122;Rodenkirchen Rathaus;ROD;111;6.9968;50.89153;BUS;131 134 135
11221;Grimmelshausenstr.;GRI;112;7.0024;50.89046;BUS;135
11222;Grimmelshausenstr.;GRI;112;7.00195;50.89035;BUS;135
11421;Uferstr.;UFS;114;7.00981;50.89173;BUS;135
11422;Uferstr.;UFS;114;7.00981;50.89173;BUS;135
11621;Siegfriedstr.;SFS;116;7.00037;50.88864;BUS;131 134
11622;Siegfriedstr.;SFS;116;7.00033;50.88852;BUS;131 134
11623;Siegfriedstr.;SFS;116;6.99884;50.88827;BUS;135
11624;Siegfriedstr.;SFS;116;6.99916;50.88849;BUS;135
11721;Grüngürtelstr.;GGS;117;7.00497;50.88502;BUS;131 134
11722;Grüngürtelstr.;GGS;117;7.0059;50.88455;BUS;131 134
11821;Richard-Wagner-Str.;RWS;118;7.01076;50.88278;BUS;131 134
11822;Richard-Wagner-Str.;RWS;118;7.01197;50.88208;BUS;131 134
11921;Adolf-Menzel-Str.;ADM;119;7.01551;50.8806;BUS;131 134
11922;Adolf-Menzel-Str.;ADM;119;7.01626;50.88024;BUS;131 134
12021;Konrad-Adenauer-Str.;KOS;120;6.98606;50.89051;BUS;131
12022;Konrad-Adenauer-Str.;KOS;120;6.98595;50.89039;BUS;131
12121;Schwabenstr.;SCW;121;6.9898;50.88669;BUS;135
12122;Schwabenstr.;SCW;121;6.98967;50.88716;BUS;135
12221;Schillingsrotter Str.;SIL;122;6.98963;50.88437;BUS;135
12222;Schillingsrotter Str.;SIL;122;6.98994;50.88473;BUS;135
12321;Emil-Hoffmann-Str.;ANF;123;6.99483;50.87536;BUS;135
12322;Emil-Hoffmann-Str.;ANF;123;6.99519;50.87566;BUS;135
12411;Sürth Bf;SUT;124;7.0036;50.8643;STRAB;16 17
12412;Sürth Bf;SUT;124;7.00341;50.86412;STRAB;16 17
12421;Sürth Bf;SUT;124;7.00428;50.8646;BUS;131 134
